0,27
1,32
2,32
3,37
4,42
5,47
6,51
7,55
8,60
9,65
10,70
11,75
12,80
13,85
14,90
15,95
16,100
17,105
18,110
19,115
20,120
21,125
22,130
23,134
24,139
25,144
26,149
27,154
28,159
29,164
30,169
31,174
32,179
33,184
34,189
35,194
36,199
37,204
38,209
39,214
40,219
41,223
42,228
43,233
44,238
45,243
46,248
47,253
48,258
49,263
50,268
51,273
52,277
53,282
54,287
55,292
56,292
57,292
58,297
59,301
60,306
61,311
62,316
63,321
64,326
65,331
66,336
67,341
68,346
69,351
70,356
71,361
72,366
73,371
74,376
75,376
76,376
77,380
78,385
79,390
80,395
81,400
82,404
83,409
84,414
85,418
86,423
87,428
88,433
89,433
90,438
91,443
92,448
93,453
94,458
95,463
96,468
97,473
98,478
99,483
100,488
101,492
102,497
103,502
104,507
105,512
106,512
107,515
108,520
109,524
110,528
111,533
112,537
113,541
114,546
115,550
116,555
117,560
118,565
119,570
120,575
121,578
122,583
123,588
124,588
125,592
126,596
127,601
128,605
129,610
130,614
131,618
132,623
133,628
134,633
135,637
136,642
137,646
138,651
139,656
140,660
141,664
142,669
143,674
144,679
145,683
146,688
147,693
148,698
149,703
150,703
151,708
152,713
153,718
154,723
155,728
156,728
157,729
158,732
159,737
160,741
161,746
162,751
163,755
164,760
165,764
166,768
167,772
168,777
169,782
170,786
171,790
172,795
173,795
174,799
175,804
176,808
177,813
178,817
179,821
180,826
181,826
182,831
183,836
184,841
185,846
186,851
187,855
188,860
189,865
190,869
191,872
192,877
193,882
194,886
195,890
196,894
197,899
198,903
199,907
