query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A,nonfail,newFP,,
71,0.02386,0.985246953,187.508,1891.69,2079.19,5000,1928,1882,,0.985246953,,
72,0.00169,0.99848082,185.878,29.332,215.21,5000,2371,2367,,0.99848082,,
73,0.02698,0.980055021,181.288,29.0837,210.371,5000,2150,2092,,0.980055021,,
74,1,0,0,0,600000,5000,0,0,,0,,
75,0.01029,0.990366089,203.179,40.7125,243.891,5000,2430,2405,,0.990366089,,
76,0.0207,0.987638669,167.63,87.7066,255.337,5000,1884,1845,,0.987638669,,
77,0.00892,0.99342333,192.257,36.5207,228.777,5000,2130,2111,,0.99342333,,
78,0.00764,0.993913355,174.915,31.6137,206.528,5000,2224,2207,,0.993913355,,
79,0.02385,0.979992725,206.831,1554.7,1761.53,5000,2306,2251,,0.979992725,,
80,0.00515,0.994781212,195.378,31.1696,226.548,5000,2522,2509,,0.994781212,,
81,0.00395,0.99670088,185.649,31.1291,216.778,5000,2281,2272,,0.99670088,,
82,0.05134,0.964604697,187.092,61.4667,248.559,5000,2084,1977,,0.964604697,,
83,0.04749,0.973271889,179.335,140.617,319.952,5000,1832,1745,,0.973271889,,
84,0.02142,0.982252807,194.759,32.2021,226.961,5000,2288,2239,,0.982252807,,
85,0.01334,0.99255814,172.087,30.7143,202.802,5000,1799,1775,,0.99255814,,
86,0.00879,0.993349667,189.602,33.0973,222.699,5000,2162,2143,,0.993349667,,
87,0.04417,0.968307485,195.582,41.8379,237.42,5000,2128,2034,,0.968307485,,
88,0.00379,0.997238523,189.206,36.7812,225.987,5000,2111,2103,,0.997238523,,
89,0.0056,0.99517267,199.37,30.584,229.954,5000,2320,2307,,0.99517267,,
90,0.00552,0.996355202,160.561,24.3751,184.937,5000,1993,1982,,0.996355202,,
91,0.00858,0.993226381,193.221,38.1187,231.34,5000,2214,2195,,0.993226381,,
92,0.04344,0.966131285,197.948,37.583,235.531,5000,2233,2136,,0.966131285,,
93,0.0285,0.9824,186.951,244.06,431.011,5000,1930,1875,,0.9824,,
94,0.01259,0.988670695,191.786,35.3412,227.127,5000,2382,2352,,0.988670695,,
95,0.03998,0.974017538,192.634,48.1485,240.782,5000,2001,1921,,0.974017538,,
96,0.02875,0.980379115,181.551,28.2459,209.797,5000,2052,1993,,0.980379115,,
97,0.02374,0.984675579,178.541,33.9861,212.527,5000,1980,1933,,0.984675579,,
98,0.00307,0.997433077,176.721,26.6913,203.412,5000,2280,2273,,0.997433077,,
99,0.03483,0.97373877,200.436,36.7288,237.164,5000,2182,2106,,0.97373877,,
