query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,6.31825000,0.70699500,7.02524000,40000,5.0,5.0
1,0.05,0.9999499524548321,6.73803000,1.69125000,8.42928000,40000,40.0,38.0
2,0.0,1.0,6.67029000,1.03358000,7.70387000,40000,38.0,38.0
3,0.0,1.0,6.57465000,0.77490100,7.34955000,40000,33.0,33.0
4,0.05,0.9999499524548321,6.70737000,0.70711700,7.41448000,40000,40.0,38.0
5,0.0,1.0,6.42234000,0.92514500,7.34748000,40000,9.0,9.0
6,0.05,0.9999499524548321,6.68452000,1.03080000,7.71532000,40000,40.0,38.0
7,0.0,1.0,6.77136000,0.69555100,7.46691000,40000,38.0,38.0
8,0.0,1.0,6.69250000,0.68767700,7.38018000,40000,38.0,38.0
9,0.05,0.9999499524548321,6.69128000,2.11053000,8.80181000,40000,40.0,38.0
10,0.0,1.0,6.05136000,0.35842200,6.40978000,40000,1.0,1.0
11,0.0,1.0,6.29268000,0.37573300,6.66841000,40000,8.0,8.0
12,0.0,1.0,6.20446000,0.88081100,7.08527000,40000,7.0,7.0
13,0.05,0.9999499524548321,6.83574000,1.62989000,8.46563000,40000,40.0,38.0
14,0.0,1.0,6.48337000,0.83326200,7.31663000,40000,33.0,33.0
15,0.0,1.0,6.91856000,0.56084300,7.47941000,40000,38.0,38.0
16,0.0,1.0,6.27429000,0.39067200,6.66496000,40000,7.0,7.0
17,0.0,1.0,6.51586000,1.84549000,8.36135000,40000,9.0,9.0
18,0.05,0.9999499524548321,6.84594000,1.83212000,8.67806000,40000,40.0,38.0
19,0.0,1.0,6.18171000,1.23552000,7.41723000,40000,5.0,5.0
20,0.0,1.0,6.57853000,0.66129000,7.23982000,40000,33.0,33.0
21,0.0,1.0,6.34022000,0.92069000,7.26091000,40000,8.0,8.0
22,0.0,1.0,6.32108000,0.37718600,6.69827000,40000,9.0,9.0
23,0.05,0.9999499524548321,6.78343000,1.04488000,7.82830000,40000,40.0,38.0
24,0.05,0.9999499524548321,6.73498000,1.09207000,7.82705000,40000,40.0,38.0
25,0.05,0.9999499524548321,6.68014000,1.60161000,8.28175000,40000,40.0,38.0
26,0.05,0.9999499524548321,6.79357000,0.72212600,7.51569000,40000,40.0,38.0
27,0.0,1.0,6.26173000,0.38385900,6.64559000,40000,7.0,7.0
28,0.0,1.0,6.12896000,0.37881000,6.50777000,40000,2.0,2.0
29,0.0,1.0,6.21982000,0.92105700,7.14088000,40000,7.0,7.0
30,0.05,0.9999499524548321,6.62276000,1.05790000,7.68066000,40000,40.0,38.0
31,0.0,1.0,6.62335000,0.69107600,7.31442000,40000,38.0,38.0
32,0.0,1.0,6.15626000,0.36799000,6.52425000,40000,5.0,5.0
33,0.0,1.0,6.60528000,1.54089000,8.14618000,40000,33.0,33.0
34,0.05,0.9999499524548321,6.69901000,0.71777000,7.41678000,40000,40.0,38.0
35,0.0,1.0,6.53048000,0.62057600,7.15105000,40000,33.0,33.0
36,0.0,1.0,6.17689000,0.37678600,6.55368000,40000,5.0,5.0
37,0.0,1.0,6.25111000,1.41509000,7.66621000,40000,5.0,5.0
38,0.0,1.0,6.47174000,0.33956800,6.81131000,40000,8.0,8.0
39,0.0,1.0,6.30247000,0.84839100,7.15086000,40000,9.0,9.0
40,0.05,0.9999499524548321,6.60606000,1.09151000,7.69757000,40000,40.0,38.0
41,0.0,1.0,6.62122000,1.25164000,7.87286000,40000,38.0,38.0
42,0.0,1.0,6.36393000,0.38938000,6.75331000,40000,9.0,9.0
43,0.05,0.9999499524548321,6.85073000,1.13380000,7.98453000,40000,40.0,38.0
44,0.0,1.0,6.30836000,0.35082800,6.65919000,40000,1.0,1.0
45,0.05,0.9999499524548321,6.77254000,1.66626000,8.43881000,40000,40.0,38.0
46,0.0,1.0,6.36133000,0.39172400,6.75306000,40000,9.0,9.0
47,0.0,1.0,6.21155000,0.36086600,6.57241000,40000,5.0,5.0
48,0.0,1.0,6.21389000,0.36440200,6.57829000,40000,5.0,5.0
49,0.0,1.0,6.21108000,1.40060000,7.61168000,40000,2.0,2.0
50,0.05,0.9999499524548321,6.67869000,0.70534400,7.38403000,40000,40.0,38.0
51,0.0,1.0,7.14976000,0.66100800,7.81077000,40000,38.0,38.0
52,0.05,0.9999499524548321,6.81000000,1.61442000,8.42443000,40000,40.0,38.0
53,0.05,0.9999499524548321,6.64634000,0.73504000,7.38138000,40000,40.0,38.0
54,0.05,0.9999499524548321,6.79763000,1.05343000,7.85106000,40000,40.0,38.0
55,0.0,1.0,6.67931000,0.71752400,7.39683000,40000,38.0,38.0
56,0.0,1.0,6.58939000,1.32372000,7.91311000,40000,33.0,33.0
57,0.05,0.9999499524548321,6.79701000,1.06106000,7.85807000,40000,40.0,38.0
58,0.05,0.9999499524548321,6.72531000,0.74114700,7.46646000,40000,40.0,38.0
59,0.0,1.0,6.18518000,0.38330800,6.56849000,40000,5.0,5.0
60,0.0,1.0,6.62157000,0.98948700,7.61106000,40000,33.0,33.0
61,0.0,1.0,6.25023000,0.36558600,6.61582000,40000,7.0,7.0
62,0.05,0.9999499524548321,6.72250000,1.18686000,7.90935000,40000,40.0,38.0
63,0.05,0.9999499524548321,6.70430000,0.73088000,7.43518000,40000,40.0,38.0
64,0.05,0.9999499524548321,6.77218000,2.16979000,8.94197000,40000,40.0,38.0
65,0.05,0.9999499524548321,6.66497000,0.74024100,7.40521000,40000,40.0,38.0
66,0.05,0.9999499524548321,6.69020000,0.74285400,7.43306000,40000,40.0,38.0
67,0.0,1.0,6.24926000,0.37152800,6.62079000,40000,5.0,5.0
68,0.0,1.0,6.25101000,0.95806600,7.20908000,40000,1.0,1.0
69,0.0,1.0,6.09731000,0.38974000,6.48705000,40000,1.0,1.0
70,0.05,0.9999499524548321,6.78485000,1.00419000,7.78904000,40000,40.0,38.0
71,0.0,1.0,6.27231000,0.40531900,6.67763000,40000,5.0,5.0
72,0.0,1.0,6.24302000,0.97704100,7.22006000,40000,5.0,5.0
73,0.05,0.9999499524548321,6.72545000,1.02018000,7.74563000,40000,40.0,38.0
74,0.0,1.0,6.62987000,0.51696000,7.14683000,40000,38.0,38.0
75,0.05,0.9999499524548321,6.66715000,0.69922100,7.36637000,40000,40.0,38.0
76,0.05,0.9999499524548321,6.74611000,1.95945000,8.70557000,40000,40.0,38.0
77,0.0,1.0,6.10585000,0.36979400,6.47564000,40000,2.0,2.0
78,0.0,1.0,6.19893000,0.36337100,6.56230000,40000,5.0,5.0
79,0.0,1.0,6.16063000,0.37725700,6.53788000,40000,1.0,1.0
80,0.05,0.9999499524548321,6.78510000,1.63400000,8.41910000,40000,40.0,38.0
81,0.0,1.0,6.14528000,0.37153800,6.51682000,40000,5.0,5.0
82,0.05,0.9999499524548321,6.59570000,0.69566400,7.29137000,40000,40.0,38.0
83,0.05,0.9999499524548321,6.71509000,0.70100000,7.41609000,40000,40.0,38.0
84,0.0,1.0,6.38651000,1.72563000,8.11215000,40000,9.0,9.0
85,0.0,1.0,6.59332000,0.43135100,7.02467000,40000,9.0,9.0
86,0.0,1.0,6.68049000,0.48988000,7.17037000,40000,33.0,33.0
87,0.05,0.9999499524548321,6.64622000,0.73420700,7.38042000,40000,40.0,38.0
88,0.05,0.9999499524548321,6.72594000,1.71224000,8.43818000,40000,40.0,38.0
89,0.0,1.0,6.12146000,0.36395200,6.48541000,40000,5.0,5.0
90,0.05,0.9999499524548321,6.78809000,0.72710900,7.51520000,40000,40.0,38.0
91,0.0,1.0,6.53138000,0.44996600,6.98134000,40000,33.0,33.0
92,0.05,0.9999499524548321,6.74740000,1.53055000,8.27794000,40000,40.0,38.0
93,0.05,0.9999499524548321,6.72500000,0.72977800,7.45477000,40000,40.0,38.0
94,0.0,1.0,6.36262000,0.36966000,6.73228000,40000,9.0,9.0
95,0.05,0.9999499524548321,6.67688000,0.70974200,7.38662000,40000,40.0,38.0
96,0.05,0.9999499524548321,6.90102000,1.71004000,8.61105000,40000,40.0,38.0
97,0.05,0.9999499524548321,6.72191000,0.70868200,7.43059000,40000,40.0,38.0
98,0.0,1.0,6.66087000,0.51866200,7.17954000,40000,38.0,38.0
99,0.0,1.0,6.36944000,0.36323000,6.73267000,40000,9.0,9.0
