querySet,FP,FP2,filtime,vertime,total
4R,0.001244,0.997199,94.07451,11.986996,106.061465
8R,0.007013,0.990826,134.12075,20.050205,154.17093
16R,0.031564,0.985939,186.05957,979.922758,7165.98242
32R,0.378433,0.990176,178.11868,16811.03397,226989.1687
4B,0.000055,0.999876,92.406718,11.001984,103.408681
8B,0,1,110.903125,15.814237,126.717357
16B,0.000063,0.99994,129.108447,20.735501,149.84398
32B,0.000626,0.999704,147.878256,27.684285,175.562496
64B,0.012672,0.999471,273.318124,5550.07902,11823.39878
