query_id,FPratio,FP2,filtering_time(ms),verification_time(ms),query_time(ms),|G|,C,A
0,0.0,1.0,0.78944500,1.13584000,1.92529000,1500,19.0,19.0
1,0.25,0.998661311914324,0.53163500,0.66938600,1.20102000,1500,8.0,6.0
2,0.07143,0.9993275050437121,0.71518100,0.69562400,1.41081000,1500,14.0,13.0
3,0.0,1.0,0.54207200,0.52803100,1.07010000,1500,10.0,10.0
4,0.11765,0.9986531986531987,0.73358300,0.72318500,1.45677000,1500,17.0,15.0
5,0.0,1.0,0.75480700,0.54922200,1.30403000,1500,18.0,18.0
6,0.0,1.0,0.85269300,0.73056700,1.58326000,1500,17.0,17.0
7,0.0,1.0,0.60153300,0.58721900,1.18875000,1500,15.0,15.0
8,0.11111,0.9993297587131368,0.52416800,0.66406500,1.18823000,1500,9.0,8.0
9,0.08696,0.9986477349560514,0.95255200,0.84242200,1.79497000,1500,23.0,21.0
10,0.2,0.9973045822102425,0.84514900,0.79519300,1.64034000,1500,20.0,16.0
11,0.0,1.0,0.70388600,0.59762200,1.30151000,1500,23.0,23.0
12,0.0,1.0,0.77247100,0.75390400,1.52637000,1500,21.0,21.0
13,0.0303,0.9993188010899182,0.93866400,0.68467100,1.62333000,1500,33.0,32.0
14,0.0,1.0,0.96123900,0.63134000,1.59258000,1500,31.0,31.0
15,0.0,1.0,0.62310500,0.53885800,1.16196000,1500,11.0,11.0
16,0.06667,0.9993270524899058,0.74203300,0.72237200,1.46441000,1500,15.0,14.0
17,0.0,1.0,0.75050100,0.57859500,1.32910000,1500,23.0,23.0
18,0.07143,0.9993275050437121,0.72965200,0.73782300,1.46748000,1500,14.0,13.0
19,0.0,1.0,0.87219000,0.61736800,1.48956000,1500,30.0,30.0
20,0.0,1.0,0.91046100,0.60561300,1.51607000,1500,27.0,27.0
21,0.05,0.9993247805536799,1.03398000,0.82133200,1.85531000,1500,20.0,19.0
22,0.0,1.0,0.93217600,0.50032700,1.43250000,1500,26.0,26.0
23,0.0,1.0,0.71802200,0.71617200,1.43419000,1500,12.0,12.0
24,0.0,1.0,0.71554000,0.62259800,1.33814000,1500,13.0,13.0
25,0.0,1.0,0.96190400,0.67180900,1.63371000,1500,32.0,32.0
26,0.0,1.0,0.77937900,0.62010100,1.39948000,1500,20.0,20.0
27,0.0,1.0,1.01649000,0.54264500,1.55913000,1500,39.0,39.0
28,0.0,1.0,0.51613000,0.74230400,1.25843000,1500,10.0,10.0
